+------------------------------------------------+-----------+
|                      Word                      | Frequency |
|                     matter                     |     2     |
|                  TheLallantop                  |     6     |
|                  abhinaymaths                  |     5     |
|                   Trendsmap                    |     8     |
|                   Important                    |     2     |
|                     Update                     |     1     |
|                      Map                       |     4     |
|                     Local                      |     2     |
|                     Tweets                     |     3     |
|                     Users                      |     2     |
|                    Pricing                     |     6     |
|                      Pro                       |     4     |
|                   Analytics                    |     2     |
|                 Visualisations                 |     2     |
|                   Dashboards                   |     2     |
|                     Topic                      |     2     |
|                     Search                     |     3     |
|                   Resources                    |     1     |
|                      FAQ                       |     1     |
|                      Blog                      |     2     |
|                   Conditions                   |     4     |
|                      Sign                      |     6     |
|                      Log                       |     2     |
|                     Start                      |     2     |
|                      User                      |     1     |
|                     Global                     |     1     |
|                    Analyse                     |     1     |
|                  SanjeetRazz7                  |     4     |
|                   followers                    |     1     |
|         SSC_CGL_AGE_RECKONING_1_JANDue         |     1     |
|                       co                       |     19    |
|                   WQs50XqEwm                   |     1     |
|                       15                       |     5     |
|                     Tweet                      |     1     |
|                   Engagement                   |     2     |
|                     Stats                      |     2     |
|                      upon                      |     1     |
|                    replies                     |     2     |
|                     quotes                     |     2     |
|                    Hashtags                    |     1     |
|          ssc_cgl_age_reckoning_1_jan           |     1     |
|                       75                       |     3     |
|                       0                        |     7     |
|                     Words                      |     1     |
|                    nofollow                    |     1     |
|                       70                       |     3     |
|                   noreferrer                   |     1     |
|                      100                       |     3     |
|                     Quotes                     |     3     |
|                    Replies                     |     3     |
|                    Retweets                    |     1     |
|                     Total                      |     1     |
|                     found                      |     1     |
|                   Retweeters                   |     2     |
|                      akku                      |     1     |
|                  akku0123456                   |     1     |
|                      sir                       |     1     |
|                     please                     |     7     |
|                   pIHgxRu7gU                   |     1     |
|                     naveen                     |     1     |
|                     kumar                      |     3     |
|                NeiltanwarKumar                 |     1     |
|                   Nk7E4XjFq1                   |     1     |
|                    Harshit                     |     1     |
|                   Srivastava                   |     1     |
|                 Harshitsi97619                 |     1     |
|                    jaideep                     |     1     |
|                     sharma                     |     4     |
|                 jaideep191994                  |     1     |
|                    Sahayta                     |     1     |
|                   BmFdslsAe9                   |     1     |
|                    Dilpreet                    |     1     |
|                      Kaur                      |     1     |
|                Dilpree07918802                 |     1     |
|                     aajtak                     |     5     |
|                   rlPITQPZZb                   |     1     |
|                  chakraborty                   |     1     |
|                subhadi05194310                 |     1     |
|                   1eCUQ3Kb9e                   |     1     |
|                     kanha                      |     1     |
|                     mishra                     |     1     |
|                kanharadhamisra                 |     1     |
|                     Highly                     |     1     |
|                     board                      |     1     |
|                    members                     |     1     |
|                      plz                       |     2     |
|                   recognise                    |     1     |
|                     issue                      |     2     |
|                      agr                       |     1     |
|                    related                     |     1     |
|                     spoil                      |     1     |
|                    carrier                     |     1     |
|                   thousands                    |     1     |
|                     review                     |     1     |
|                   Bhakta003                    |     1     |
|                 bhakta0033650                  |     1     |
|                   VdkuOrVyOT                   |     1     |
|                   eyemsandy                    |     1     |
|                    shatter                     |     1     |
|                     dreams                     |     3     |
|                   deserving                    |     2     |
|                     humbly                     |     1     |
|                   QCEp0Yt2sf                   |     1     |
|                     Saurav                     |     1     |
|                   Chaudhary                    |     3     |
|                  Saurav11600                   |     1     |
|                    reckoned                    |     1     |
